,y_true,y_pred
45,"['B-LOC', 'I-LOC', 'I-LOC']","['B-LOC', 'I-LOC', 'I-LOC']"
46,"['B-LOC', 'I-LOC', 'I-LOC']","['B-LOC', 'I-LOC', 'I-LOC']"
47,"['O', 'O', 'O', 'B-PER', 'I-PER', 'I-PER']","['O', 'O', 'O', 'B-PER', 'I-PER', 'I-PER']"
48,"['O', 'O', 'O', 'O', 'O', 'O', 'B-PER', 'I-PER', 'I-PER']","['O', 'O', 'O', 'O', 'O', 'O', 'B-PER', 'I-PER', 'I-PER']"
49,"['B-CORP', 'I-CORP', 'I-CORP', 'I-CORP', 'I-CORP', 'I-CORP', 'I-CORP', 'I-CORP', 'I-CORP', 'O', 'O']","['B-CORP', 'I-CORP', 'I-CORP', 'I-CORP', 'I-CORP', 'I-CORP', 'I-CORP', 'I-CORP', 'I-CORP', 'O', 'O']"
50,"['O', 'O', 'O', 'O', 'O', 'O', 'B-CORP', 'I-CORP']","['O', 'O', 'O', 'O', 'O', 'O', 'B-CORP', 'I-CORP']"
51,"['B-CORP', 'I-CORP', 'I-CORP', 'I-CORP', 'I-CORP', 'I-CORP', 'I-CORP', 'I-CORP', 'I-CORP', 'O', 'O']","['B-CORP', 'I-CORP', 'I-CORP', 'I-CORP', 'I-CORP', 'I-CORP', 'I-CORP', 'I-CORP', 'I-CORP', 'O', 'O']"
52,"['O', 'O', 'O', 'O', 'O', 'B-CORP', 'I-CORP', 'I-CORP', 'I-CORP', 'I-CORP', 'I-CORP', 'I-CORP', 'I-CORP', 'I-CORP', 'I-CORP']","['O', 'O', 'O', 'O', 'O', 'B-CORP', 'I-CORP', 'I-CORP', 'I-CORP', 'I-CORP', 'I-CORP', 'I-CORP', 'I-CORP', 'I-CORP', 'I-CORP']"
53,"['B-LOC', 'I-LOC', 'I-LOC']","['B-LOC', 'I-LOC', 'I-LOC']"
54,"['B-LOC', 'I-LOC', 'I-LOC']","['B-LOC', 'I-LOC', 'I-LOC']"
55,"['B-LOC', 'I-LOC', 'I-LOC', 'B-LOC', 'I-LOC', 'I-LOC', 'I-LOC', 'I-LOC', 'I-LOC', 'O', 'O', 'B-LOC', 'I-LOC', 'I-LOC', 'I-LOC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PER', 'I-PER']","['O', 'O', 'O', 'B-LOC', 'I-LOC', 'I-LOC', 'I-LOC', 'I-LOC', 'I-LOC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PER', 'I-PER']"
56,"['B-CORP', 'I-CORP', 'I-CORP', 'O', 'O', 'O']","['B-CORP', 'I-CORP', 'I-CORP', 'O', 'O', 'O']"
57,"['O', 'O', 'B-GRP', 'I-GRP', 'I-GRP', 'I-GRP', 'I-GRP', 'I-GRP', 'O', 'O', 'O', 'O', 'O', 'O', 'B-CORP', 'I-CORP', 'I-CORP', 'I-CORP', 'I-CORP', 'I-CORP', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'O', 'B-GRP', 'I-GRP', 'I-GRP', 'I-GRP', 'I-GRP', 'I-GRP', 'O', 'O', 'O', 'O', 'O', 'O', 'B-CORP', 'I-CORP', 'I-CORP', 'I-CORP', 'I-CORP', 'I-CORP', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
58,"['O', 'O', 'O', 'O', 'O', 'B-CW', 'I-CW']","['O', 'O', 'O', 'O', 'O', 'B-CW', 'I-CW']"
59,"['B-CORP', 'I-CORP', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['B-CORP', 'I-CORP', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
60,"['B-CORP', 'I-CORP', 'O', 'O', 'O', 'O', 'O']","['B-CORP', 'I-CORP', 'O', 'O', 'O', 'O', 'O']"
61,"['B-CORP', 'I-CORP', 'I-CORP', 'I-CORP', 'I-CORP', 'I-CORP', 'I-CORP', 'I-CORP', 'I-CORP', 'I-CORP', 'I-CORP', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['B-CORP', 'I-CORP', 'I-CORP', 'I-CORP', 'I-CORP', 'I-CORP', 'I-CORP', 'I-CORP', 'I-CORP', 'I-CORP', 'I-CORP', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
62,"['O', 'B-CW', 'I-CW', 'I-CW', 'I-CW', 'O', 'O', 'O', 'O', 'O']","['O', 'B-CW', 'I-CW', 'I-CW', 'I-CW', 'O', 'O', 'O', 'O', 'O']"
63,"['O', 'O', 'B-CW', 'I-CW', 'I-CW', 'I-CW']","['O', 'O', 'B-CW', 'I-CW', 'I-CW', 'I-CW']"
64,"['B-CORP', 'I-CORP', 'O', 'O', 'O', 'O']","['B-CORP', 'I-CORP', 'O', 'O', 'O', 'O']"
65,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-CORP', 'I-CORP', 'I-CORP', 'I-CORP', 'I-CORP', 'I-CORP', 'I-CORP', 'I-CORP', 'I-CORP', 'I-CORP', 'I-CORP', 'O', 'O', 'O', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-CORP', 'I-CORP', 'I-CORP', 'I-CORP', 'I-CORP', 'I-CORP', 'I-CORP', 'I-CORP', 'I-CORP', 'I-CORP', 'I-CORP', 'O', 'O', 'O', 'O']"
66,"['B-CW', 'I-CW', 'I-CW', 'I-CW', 'I-CW', 'I-CW', 'I-CW', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['B-PROD', 'I-PROD', 'I-PROD', 'I-PROD', 'I-PROD', 'I-PROD', 'I-PROD', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
67,"['O', 'O', 'O', 'O', 'B-CORP', 'I-CORP', 'I-CORP', 'I-CORP', 'I-CORP', 'I-CORP', 'I-CORP', 'I-CORP', 'I-CORP', 'I-CORP', 'I-CORP', 'O', 'O']","['O', 'O', 'O', 'O', 'B-CORP', 'I-CORP', 'I-CORP', 'I-CORP', 'I-CORP', 'I-CORP', 'I-CORP', 'I-CORP', 'I-CORP', 'I-CORP', 'I-CORP', 'O', 'O']"
68,"['O', 'O', 'O', 'O', 'B-CW', 'I-CW', 'I-CW', 'I-CW']","['O', 'O', 'O', 'O', 'B-CW', 'I-CW', 'I-CW', 'I-CW']"
69,"['O', 'O', 'O', 'B-LOC', 'I-LOC', 'I-LOC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'O', 'O', 'B-LOC', 'I-LOC', 'I-LOC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
70,"['O', 'O', 'O', 'B-PER', 'I-PER']","['O', 'O', 'O', 'B-PER', 'I-PER']"
71,"['B-CW', 'I-CW', 'I-CW', 'I-CW']","['B-CW', 'I-CW', 'I-CW', 'I-CW']"
72,"['O', 'O', 'O', 'O', 'O', 'B-PER', 'I-PER', 'I-PER']","['O', 'O', 'O', 'O', 'O', 'B-CORP', 'I-CORP', 'I-CORP']"
73,['B-PER'],['B-PER']
74,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
75,"['B-PER', 'I-PER']","['B-PER', 'I-PER']"
76,"['B-CORP', 'I-CORP', 'I-CORP', 'O', 'O']","['B-CW', 'O', 'O', 'O', 'O']"
77,"['O', 'B-LOC', 'I-LOC', 'I-LOC', 'O', 'O', 'O']","['O', 'B-LOC', 'I-LOC', 'I-LOC', 'O', 'O', 'O']"
78,"['O', 'O', 'O', 'O', 'O', 'B-CORP', 'I-CORP', 'I-CORP']","['O', 'O', 'O', 'O', 'O', 'B-CORP', 'I-CORP', 'I-CORP']"
79,['B-PER'],['B-PER']
80,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-CW', 'I-CW', 'I-CW', 'I-CW']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-CW', 'I-CW', 'I-CW', 'I-CW']"
81,"['B-PER', 'I-PER']","['B-PER', 'I-PER']"
82,"['B-CORP', 'I-CORP', 'I-CORP', 'O', 'O']","['B-CW', 'O', 'O', 'O', 'O']"
83,"['O', 'B-LOC', 'I-LOC', 'I-LOC', 'I-LOC', 'I-LOC', 'I-LOC']","['O', 'B-LOC', 'I-LOC', 'I-LOC', 'I-LOC', 'I-LOC', 'I-LOC']"
84,"['O', 'O', 'O', 'O', 'O', 'B-CORP', 'I-CORP', 'I-CORP', 'I-CORP', 'I-CORP', 'I-CORP', 'I-CORP', 'I-CORP', 'I-CORP', 'I-CORP', 'I-CORP', 'I-CORP']","['O', 'O', 'O', 'O', 'O', 'B-CORP', 'I-CORP', 'I-CORP', 'I-CORP', 'I-CORP', 'I-CORP', 'I-CORP', 'I-CORP', 'I-CORP', 'I-CORP', 'I-CORP', 'I-CORP']"
85,"['O', 'O', 'O', 'B-LOC', 'I-LOC', 'I-LOC', 'I-LOC', 'I-LOC', 'I-LOC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-LOC', 'I-LOC']","['O', 'O', 'O', 'B-LOC', 'I-LOC', 'I-LOC', 'I-LOC', 'I-LOC', 'I-LOC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PER', 'I-PER']"
86,"['O', 'O', 'B-CW', 'I-CW', 'I-CW']","['O', 'O', 'B-CW', 'I-CW', 'I-CW']"
87,"['O', 'O', 'O', 'O', 'O', 'B-PER', 'I-PER']","['O', 'O', 'O', 'O', 'O', 'B-CORP', 'I-CORP']"
88,"['O', 'B-CORP', 'I-CORP', 'I-CORP', 'I-CORP', 'I-CORP', 'I-CORP', 'I-CORP', 'I-CORP', 'I-CORP', 'I-CORP', 'I-CORP', 'I-CORP', 'I-CORP', 'O', 'O']","['O', 'B-CORP', 'I-CORP', 'I-CORP', 'I-CORP', 'I-CORP', 'I-CORP', 'I-CORP', 'I-CORP', 'I-CORP', 'I-CORP', 'I-CORP', 'I-CORP', 'I-CORP', 'O', 'O']"
89,"['O', 'O', 'O', 'O', 'O', 'B-PER', 'I-PER']","['O', 'O', 'O', 'O', 'O', 'B-CORP', 'I-CORP']"
90,"['O', 'B-CORP', 'I-CORP', 'I-CORP', 'I-CORP', 'I-CORP', 'I-CORP', 'I-CORP', 'I-CORP', 'I-CORP', 'I-CORP', 'I-CORP', 'I-CORP', 'I-CORP', 'O', 'O']","['O', 'B-CORP', 'I-CORP', 'I-CORP', 'I-CORP', 'I-CORP', 'I-CORP', 'I-CORP', 'I-CORP', 'I-CORP', 'I-CORP', 'I-CORP', 'I-CORP', 'I-CORP', 'O', 'O']"
91,"['O', 'O', 'O', 'O', 'B-CORP', 'I-CORP', 'I-CORP', 'I-CORP', 'I-CORP', 'I-CORP', 'I-CORP', 'I-CORP', 'I-CORP', 'I-CORP', 'I-CORP', 'I-CORP']","['O', 'O', 'O', 'O', 'B-CORP', 'I-CORP', 'I-CORP', 'I-CORP', 'I-CORP', 'I-CORP', 'I-CORP', 'I-CORP', 'I-CORP', 'I-CORP', 'I-CORP', 'I-CORP']"
92,"['B-LOC', 'I-LOC', 'I-LOC']","['B-LOC', 'I-LOC', 'I-LOC']"
93,"['O', 'O', 'O', 'B-LOC', 'I-LOC', 'I-LOC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PER', 'I-PER', 'I-PER']","['O', 'O', 'O', 'B-LOC', 'I-LOC', 'I-LOC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PER', 'I-PER', 'I-PER']"
94,"['O', 'O', 'B-CW', 'I-CW', 'I-CW']","['O', 'O', 'B-CW', 'I-CW', 'I-CW']"
95,"['O', 'O', 'O', 'O', 'B-CORP', 'I-CORP', 'I-CORP', 'I-CORP', 'I-CORP', 'I-CORP', 'I-CORP', 'I-CORP', 'I-CORP', 'I-CORP', 'I-CORP', 'I-CORP']","['O', 'O', 'O', 'O', 'B-CORP', 'I-CORP', 'I-CORP', 'I-CORP', 'I-CORP', 'I-CORP', 'I-CORP', 'I-CORP', 'I-CORP', 'I-CORP', 'I-CORP', 'I-CORP']"
96,"['O', 'O', 'B-LOC', 'I-LOC']","['O', 'O', 'B-LOC', 'I-LOC']"
97,"['O', 'O', 'O', 'B-LOC', 'I-LOC', 'I-LOC', 'I-LOC', 'I-LOC', 'I-LOC', 'I-LOC', 'I-LOC', 'I-LOC', 'I-LOC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PER', 'I-PER', 'I-PER']","['O', 'O', 'O', 'B-LOC', 'I-LOC', 'I-LOC', 'I-LOC', 'I-LOC', 'I-LOC', 'I-LOC', 'I-LOC', 'I-LOC', 'I-LOC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PER', 'I-PER', 'I-PER']"
98,"['O', 'O', 'B-CW', 'I-CW', 'I-CW']","['O', 'O', 'B-CW', 'I-CW', 'I-CW']"
99,"['O', 'O', 'O', 'O', 'B-CORP', 'I-CORP', 'I-CORP', 'I-CORP', 'I-CORP', 'I-CORP', 'I-CORP', 'I-CORP', 'I-CORP', 'I-CORP', 'I-CORP', 'I-CORP']","['O', 'O', 'O', 'O', 'B-CORP', 'I-CORP', 'I-CORP', 'I-CORP', 'I-CORP', 'I-CORP', 'I-CORP', 'I-CORP', 'I-CORP', 'I-CORP', 'I-CORP', 'I-CORP']"
100,"['O', 'O', 'O', 'B-LOC', 'I-LOC', 'I-LOC']","['O', 'O', 'O', 'B-LOC', 'I-LOC', 'I-LOC']"
